host_name,planet_letter,planet_name,num_planets_in_system,discovery_year,num_moons,link_to_wiki
K2-155,b,K2-155 b,3,2018,0,http://exoplanet.eu/catalog/lp415-17_b/
K2-155,c,K2-155 c,3,2018,0,http://exoplanet.eu/catalog/lp415-17_c/
K2-155,d,K2-155 d,3,2018,0,http://exoplanet.eu/catalog/lp415-17_d/
K2-156,b,K2-156 b,1,2018,0,
K2-157,b,K2-157 b,1,2018,0,
K2-158,b,K2-158 b,2,2018,0,
K2-158,c,K2-158 c,2,2018,0,
K2-159,b,K2-159 b,1,2018,0,
K2-16,b,K2-16 b,3,2015,0,http://exoplanet.eu/catalog/k2-16_b/
K2-16,c,K2-16 c,3,2015,0,http://exoplanet.eu/catalog/k2-16_c/
K2-160,b,K2-160 b,1,2018,0,
K2-161,b,K2-161 b,1,2018,0,
K2-162,b,K2-162 b,1,2018,0,
K2-163,b,K2-163 b,1,2018,0,
K2-164,b,K2-164 b,1,2018,0,
K2-165,b,K2-165 b,3,2018,0,
K2-165,c,K2-165 c,3,2018,0,
K2-165,d,K2-165 d,3,2018,0,
K2-166,b,K2-166 b,2,2018,0,
K2-167,b,K2-167 b,1,2018,0,
K2-168,b,K2-168 b,2,2018,0,
K2-169,b,K2-169 b,1,2018,0,
K2-17,b,K2-17 b,1,2015,0,http://exoplanet.eu/catalog/k2-17_b/
K2-170,b,K2-170 b,2,2018,0,
K2-170,c,K2-170 c,2,2018,0,
K2-171,b,K2-171 b,1,2018,0,
K2-172,b,K2-172 b,2,2018,0,
K2-172,c,K2-172 c,2,2018,0,
K2-173,b,K2-173 b,1,2018,0,
K2-174,b,K2-174 b,1,2018,0,
K2-175,b,K2-175 b,1,2018,0,
K2-176,b,K2-176 b,1,2018,0,
K2-177,b,K2-177 b,1,2018,0,
K2-178,b,K2-178 b,1,2018,0,
K2-179,b,K2-179 b,1,2018,0,
K2-18,b,K2-18 b,2,2015,0,http://exoplanet.eu/catalog/k2-18_b/
K2-18,c,K2-18 c,2,2017,0,http://exoplanet.eu/catalog/k2-18_c/
K2-180,b,K2-180 b,1,2018,0,
K2-181,b,K2-181 b,1,2018,0,
K2-182,b,K2-182 b,1,2018,0,
K2-183,b,K2-183 b,3,2018,0,
K2-183,c,K2-183 c,3,2018,0,
K2-183,d,K2-183 d,3,2018,0,
K2-184,b,K2-184 b,1,2018,0,
K2-185,b,K2-185 b,1,2018,0,
K2-186,b,K2-186 b,1,2018,0,
K2-187,b,K2-187 b,4,2018,0,
K2-187,c,K2-187 c,4,2018,0,
K2-187,d,K2-187 d,4,2018,0,
K2-187,e,K2-187 e,4,2018,0,
K2-188,b,K2-188 b,2,2018,0,
K2-188,c,K2-188 c,2,2018,0,
K2-189,b,K2-189 b,2,2018,0,
K2-189,c,K2-189 c,2,2018,0,
K2-19,b,K2-19 b,3,2015,0,http://exoplanet.eu/catalog/k2-19_b/
K2-19,c,K2-19 c,3,2015,0,http://exoplanet.eu/catalog/k2-19_c/
K2-19,d,K2-19 d,3,2016,0,http://exoplanet.eu/catalog/k2-19_d/
K2-190,b,K2-190 b,2,2018,0,
K2-190,c,K2-190 c,2,2018,0,
K2-191,b,K2-191 b,1,2018,0,
K2-192,b,K2-192 b,1,2018,0,
K2-193,b,K2-193 b,1,2018,0,
K2-194,b,K2-194 b,1,2018,0,
K2-195,b,K2-195 b,2,2018,0,
K2-195,c,K2-195 c,2,2018,0,
K2-196,b,K2-196 b,1,2018,0,
K2-197,b,K2-197 b,1,2018,0,
K2-198,b,K2-198 b,3,2018,0,
K2-198,c,K2-198 c,3,2019,0,
K2-198,d,K2-198 d,3,2019,0,
K2-199,b,K2-199 b,2,2018,0,
K2-199,c,K2-199 c,2,2018,0,
K2-200,b,K2-200 b,1,2018,0,
K2-201,b,K2-201 b,2,2018,0,
K2-201,c,K2-201 c,2,2018,0,
K2-202,b,K2-202 b,1,2018,0,
K2-203,b,K2-203 b,1,2018,0,
K2-204,b,K2-204 b,1,2018,0,
K2-205,b,K2-205 b,1,2018,0,
K2-206,b,K2-206 b,1,2018,0,
K2-207,b,K2-207 b,1,2018,0,
K2-208,b,K2-208 b,1,2018,0,
K2-209,b,K2-209 b,1,2018,0,
K2-21,b,K2-21 b,2,2015,0,http://exoplanet.eu/catalog/epic-206011691_b/
K2-21,c,K2-21 c,2,2015,0,http://exoplanet.eu/catalog/epic-206011691_c/
K2-210,b,K2-210 b,1,2018,0,
K2-211,b,K2-211 b,1,2018,0,
K2-212,b,K2-212 b,1,2018,0,
K2-213,b,K2-213 b,1,2018,0,
K2-214,b,K2-214 b,1,2018,0,
K2-215,b,K2-215 b,1,2018,0,
K2-216,b,K2-216 b,1,2018,0,
K2-217,b,K2-217 b,1,2018,0,
K2-218,b,K2-218 b,1,2018,0,
K2-219,b,K2-219 b,3,2018,0,
K2-219,c,K2-219 c,3,2018,0,
K2-219,d,K2-219 d,3,2018,0,
K2-22,b,K2-22 b,1,2015,0,
K2-220,b,K2-220 b,1,2018,0,
K2-221,b,K2-221 b,1,2018,0,
K2-222,b,K2-222 b,1,2018,0,
K2-223,b,K2-223 b,2,2018,0,
K2-223,c,K2-223 c,2,2018,0,
K2-224,b,K2-224 b,2,2018,0,
K2-224,c,K2-224 c,2,2018,0,
K2-225,b,K2-225 b,1,2018,0,
K2-226,b,K2-226 b,1,2018,0,
K2-227,b,K2-227 b,1,2018,0,
K2-228,b,K2-228 b,1,2018,0,
K2-229,b,K2-229 b,2,2018,0,
K2-229,c,K2-229 c,2,2018,0,
K2-230,b,K2-230 b,1,2018,0,
K2-231,b,K2-231 b,1,2018,0,
K2-232,b,K2-232 b,1,2018,0,
K2-233,b,K2-233 b,3,2018,0,
K2-233,c,K2-233 c,3,2018,0,
K2-233,d,K2-233 d,3,2018,0,
K2-237,b,K2-237 b,1,2018,0,
K2-238,b,K2-238 b,1,2018,0,
K2-239,b,K2-239 b,3,2018,0,http://exoplanet.eu/catalog/epic_248545986_b/
K2-239,c,K2-239 c,3,2018,0,http://exoplanet.eu/catalog/epic_248545986_c/
K2-239,d,K2-239 d,3,2018,0,http://exoplanet.eu/catalog/epic_248545986_d/
K2-24,b,K2-24 b,2,2016,0,http://exoplanet.eu/catalog/k2-24_b/
K2-24,c,K2-24 c,2,2016,0,http://exoplanet.eu/catalog/k2-24_c/
K2-240,b,K2-240 b,2,2018,0,http://exoplanet.eu/catalog/epic_249801827_b/
K2-240,c,K2-240 c,2,2018,0,http://exoplanet.eu/catalog/epic_249801827_c/
K2-241,b,K2-241 b,1,2018,0,
K2-242,b,K2-242 b,1,2018,0,
K2-243,b,K2-243 b,2,2018,0,
K2-243,c,K2-243 c,2,2018,0,
K2-244,b,K2-244 b,1,2018,0,
K2-245,b,K2-245 b,1,2018,0,
K2-246,b,K2-246 b,1,2018,0,
K2-247,b,K2-247 b,2,2018,0,
K2-247,c,K2-247 c,2,2018,0,
K2-248,b,K2-248 b,1,2018,0,
K2-249,b,K2-249 b,1,2018,0,
K2-25,b,K2-25 b,1,2015,0,
K2-250,b,K2-250 b,1,2018,0,
K2-251,b,K2-251 b,1,2018,0,
K2-252,b,K2-252 b,1,2018,0,
K2-253,b,K2-253 b,1,2018,0,
K2-254,b,K2-254 b,2,2018,0,
K2-254,c,K2-254 c,2,2018,0,
K2-255,b,K2-255 b,1,2018,0,
K2-256,b,K2-256 b,1,2018,0,
K2-257,b,K2-257 b,1,2018,0,
K2-258,b,K2-258 b,1,2018,0,
K2-259,b,K2-259 b,1,2018,0,
K2-26,b,K2-26 b,1,2016,0,http://exoplanet.eu/catalog/k2-26_b/
K2-260,b,K2-260 b,1,2018,0,http://exoplanet.eu/catalog/k2-260_b/
K2-261,b,K2-261 b,1,2018,0,http://exoplanet.eu/catalog/k2-261_b/
K2-263,b,K2-263 b,1,2018,0,http://exoplanet.eu/catalog/k2-263__b/
K2-264,b,K2-264 b,2,2018,0,http://exoplanet.eu/catalog/k2-264_b/
K2-264,c,K2-264 c,2,2018,0,http://exoplanet.eu/catalog/k2-264_c/
K2-265,b,K2-265 b,1,2018,0,
K2-266,b,K2-266 b,4,2018,0,http://exoplanet.eu/catalog/epic_248435473_b/
K2-266,c,K2-266 c,4,2018,0,http://exoplanet.eu/catalog/epic_248435473_c/
K2-266,d,K2-266 d,4,2018,0,http://exoplanet.eu/catalog/epic_248435473_d/
K2-266,e,K2-266 e,4,2018,0,http://exoplanet.eu/catalog/epic_248435473_e/
K2-268,b,K2-268 b,2,2018,0,
K2-268,c,K2-268 c,2,2018,0,
K2-269,b,K2-269 b,1,2018,0,
K2-27,b,K2-27 b,1,2016,0,http://exoplanet.eu/catalog/k2-27_b/
K2-270,b,K2-270 b,2,2018,0,
K2-270,c,K2-270 c,2,2018,0,
K2-271,b,K2-271 b,1,2018,0,
K2-272,b,K2-272 b,1,2018,0,
K2-273,b,K2-273 b,1,2018,0,
K2-274,b,K2-274 b,1,2018,0,
K2-275,b,K2-275 b,2,2018,0,
K2-275,c,K2-275 c,2,2018,0,
K2-276,b,K2-276 b,1,2018,0,
K2-277,b,K2-277 b,1,2018,0,
K2-278,b,K2-278 b,1,2018,0,
K2-279,b,K2-279 b,1,2018,0,
K2-28,b,K2-28 b,1,2016,0,http://exoplanet.eu/catalog/k2-28_b/
K2-280,b,K2-280 b,1,2018,0,
K2-281,b,K2-281 b,1,2018,0,
K2-282,b,K2-282 b,2,2018,0,
K2-283,b,K2-283 b,1,2018,0,
K2-284,b,K2-284 b,1,2018,0,
K2-285,b,K2-285 b,4,2018,0,http://exoplanet.eu/catalog/epic_246471491_b/
K2-285,c,K2-285 c,4,2018,0,http://exoplanet.eu/catalog/epic_246471491_c/
K2-285,d,K2-285 d,4,2018,0,http://exoplanet.eu/catalog/epic_246471491_d/
K2-285,e,K2-285 e,4,2018,0,http://exoplanet.eu/catalog/epic_246471491_e/
K2-286,b,K2-286 b,1,2018,0,
K2-287,b,K2-287 b,1,2018,0,http://exoplanet.eu/catalog/k2-287_b/
K2-288 B,b,K2-288 B b,1,2018,0,http://exoplanet.eu/catalog/k2-288b_b/
K2-289,b,K2-289 b,1,2019,0,http://exoplanet.eu/catalog/k2-289_b/
K2-29,b,K2-29 b,1,2016,0,http://exoplanet.eu/catalog/k2-29_b/
K2-290,b,K2-290 b,2,2019,0,http://exoplanet.eu/catalog/epic_249624646_b/
K2-290,c,K2-290 c,2,2019,0,http://exoplanet.eu/catalog/epic_249624646_c/
K2-291,b,K2-291 b,1,2019,0,http://exoplanet.eu/catalog/epic_247418783_b/
K2-293,b,K2-293 b,1,2019,0,
K2-294,b,K2-294 b,1,2019,0,
K2-295,b,K2-295 b,1,2018,0,http://exoplanet.eu/catalog/epic_220501947_b/
K2-3,b,K2-3 b,3,2015,0,http://exoplanet.eu/catalog/k2-3__b/
K2-3,c,K2-3 c,3,2015,0,http://exoplanet.eu/catalog/k2-3_c/
K2-3,d,K2-3 d,3,2015,0,http://exoplanet.eu/catalog/k2-3_d/
K2-30,b,K2-30 b,1,2016,0,http://exoplanet.eu/catalog/k2-30_b/
K2-308,b,K2-308 b,1,2019,0,
K2-31,b,K2-31 b,1,2016,0,
K2-32,b,K2-32 b,4,2016,0,http://exoplanet.eu/catalog/k2-32_b/
K2-32,c,K2-32 c,4,2016,0,http://exoplanet.eu/catalog/k2-32_c/
K2-32,d,K2-32 d,4,2016,0,http://exoplanet.eu/catalog/k2-32_d/
K2-32,e,K2-32 e,4,2019,0,http://exoplanet.eu/catalog/k2-32_e/
K2-33,b,K2-33 b,1,2016,0,http://exoplanet.eu/catalog/k2-33_b/
K2-34,b,K2-34 b,1,2016,0,http://exoplanet.eu/catalog/k2-34_b/
K2-35,b,K2-35 b,2,2016,0,http://exoplanet.eu/catalog/k2-35_b/
K2-35,c,K2-35 c,2,2016,0,http://exoplanet.eu/catalog/k2-35_c/
K2-36,b,K2-36 b,2,2016,0,
K2-36,c,K2-36 c,2,2016,0,
K2-37,b,K2-37 b,3,2016,0,
K2-37,c,K2-37 c,3,2016,0,
K2-37,d,K2-37 d,3,2016,0,
K2-38,b,K2-38 b,2,2016,0,
K2-38,c,K2-38 c,2,2016,0,
K2-39,b,K2-39 b,1,2016,0,http://exoplanet.eu/catalog/k2-39_b/
K2-4,b,K2-4 b,1,2015,0,http://exoplanet.eu/catalog/k2-4_b/
K2-42,b,K2-42 b,1,2016,0,
K2-43,b,K2-43 b,2,2016,0,
K2-43,c,K2-43 c,2,2019,0,
K2-44,b,K2-44 b,1,2016,0,
K2-45,b,K2-45 b,1,2016,0,
K2-46,b,K2-46 b,1,2016,0,
K2-47,b,K2-47 b,1,2016,0,
K2-48,b,K2-48 b,1,2016,0,
K2-49,b,K2-49 b,1,2016,0,
K2-5,b,K2-5 b,2,2015,0,http://exoplanet.eu/catalog/k2-5_b/
K2-5,c,K2-5 c,2,2015,0,http://exoplanet.eu/catalog/k2-5_c/
K2-50,b,K2-50 b,2,2016,0,
K2-52,b,K2-52 b,1,2016,0,
K2-53,b,K2-53 b,1,2016,0,
K2-54,b,K2-54 b,1,2016,0,
K2-55,b,K2-55 b,1,2016,0,
K2-57,b,K2-57 b,1,2016,0,
K2-58,b,K2-58 b,3,2016,0,
K2-58,c,K2-58 c,3,2016,0,
K2-58,d,K2-58 d,3,2016,0,
K2-59,b,K2-59 b,2,2016,0,
K2-59,c,K2-59 c,2,2016,0,
K2-6,b,K2-6 b,1,2015,0,http://exoplanet.eu/catalog/k2-6_b/
K2-60,b,K2-60 b,1,2016,0,
K2-61,b,K2-61 b,1,2016,0,
K2-62,b,K2-62 b,2,2016,0,
K2-62,c,K2-62 c,2,2016,0,
K2-63,b,K2-63 b,2,2016,0,
K2-63,c,K2-63 c,2,2016,0,
K2-64,b,K2-64 b,1,2016,0,
K2-65,b,K2-65 b,1,2016,0,
K2-66,b,K2-66 b,1,2016,0,
K2-68,b,K2-68 b,1,2016,0,
K2-69,b,K2-69 b,1,2016,0,
K2-7,b,K2-7 b,1,2015,0,http://exoplanet.eu/catalog/k2-7_b/
K2-70,b,K2-70 b,1,2016,0,
K2-71,b,K2-71 b,1,2016,0,
K2-72,b,K2-72 b,4,2016,0,
K2-72,c,K2-72 c,4,2016,0,
K2-72,d,K2-72 d,4,2016,0,
K2-72,e,K2-72 e,4,2016,0,
K2-73,b,K2-73 b,1,2016,0,
K2-74,b,K2-74 b,1,2016,0,
K2-75,b,K2-75 b,2,2016,0,
K2-75,c,K2-75 c,2,2016,0,
K2-77,b,K2-77 b,1,2016,0,
K2-79,b,K2-79 b,1,2016,0,
K2-8,b,K2-8 b,2,2015,0,http://exoplanet.eu/catalog/k2-8_b/
K2-8,c,K2-8 c,2,2016,0,
K2-80,b,K2-80 b,3,2016,0,
K2-80,c,K2-80 c,3,2016,0,
K2-80,d,K2-80 d,3,2018,0,
K2-81,b,K2-81 b,1,2016,0,
K2-83,b,K2-83 b,2,2016,0,
K2-83,c,K2-83 c,2,2016,0,
K2-84,b,K2-84 b,2,2016,0,
K2-84,c,K2-84 c,2,2016,0,
K2-85,b,K2-85 b,1,2016,0,
K2-86,b,K2-86 b,1,2016,0,
K2-87,b,K2-87 b,1,2016,0,
K2-88,b,K2-88 b,1,2016,0,
K2-89,b,K2-89 b,1,2016,0,
K2-9,b,K2-9 b,1,2015,0,http://exoplanet.eu/catalog/k2-9_b/
K2-90,b,K2-90 b,2,2016,0,
K2-90,c,K2-90 c,2,2016,0,
K2-91,b,K2-91 b,1,2016,0,
K2-95,b,K2-95 b,1,2016,0,http://exoplanet.eu/catalog/k2-95_b/
K2-97,b,K2-97 b,1,2016,0,
K2-98,b,K2-98 b,1,2016,0,http://exoplanet.eu/catalog/epic_211391664_b/
K2-99,b,K2-99 b,1,2016,0,http://exoplanet.eu/catalog/k2-99_b/
KELT-1,b,KELT-1 b,1,2012,0,http://exoplanet.eu/catalog/kelt-1_b/
KELT-10,b,KELT-10 b,1,2016,0,http://exoplanet.eu/catalog/kelt-10_b/
KELT-11,b,KELT-11 b,1,2017,0,http://exoplanet.eu/catalog/kelt-11_b/
KELT-12,b,KELT-12 b,1,2017,0,http://exoplanet.eu/catalog/wasp-86_b/
KELT-14,b,KELT-14 b,1,2016,0,http://exoplanet.eu/catalog/wasp-122_b/
KELT-15,b,KELT-15 b,1,2016,0,http://exoplanet.eu/catalog/kelt-15_b/
KELT-16,b,KELT-16 b,1,2017,0,http://exoplanet.eu/catalog/kelt-16_b/
KELT-17,b,KELT-17 b,1,2016,0,http://exoplanet.eu/catalog/kelt-17_b/
KELT-18,b,KELT-18 b,1,2017,0,http://exoplanet.eu/catalog/kelt-18_b/
KELT-19 A,b,KELT-19 A b,1,2017,0,http://exoplanet.eu/catalog/kelt-19_a_b/
KELT-2 A,b,KELT-2 A b,1,2012,0,http://exoplanet.eu/catalog/kelt-2_a_b/
KELT-20,b,KELT-20 b,1,2017,0,http://exoplanet.eu/catalog/kelt-20_b/
KELT-21,b,KELT-21 b,1,2018,0,http://exoplanet.eu/catalog/kelt-21_b/
KELT-23 A,b,KELT-23 A b,1,2019,0,
KELT-24,b,KELT-24 b,1,2019,0,http://exoplanet.eu/catalog/mascara-3_b/
KELT-3,b,KELT-3 b,1,2013,0,http://exoplanet.eu/catalog/kelt-3_b/
KELT-4 A,b,KELT-4 A b,1,2016,0,http://exoplanet.eu/catalog/kelt-4_a_b/
KELT-6,b,KELT-6 b,2,2014,0,http://exoplanet.eu/catalog/kelt-6_b/
KELT-6,c,KELT-6 c,2,2015,0,http://exoplanet.eu/catalog/kelt-6_c/
KELT-7,b,KELT-7 b,1,2015,0,http://exoplanet.eu/catalog/kelt-7_b/
KELT-8,b,KELT-8 b,1,2015,0,http://exoplanet.eu/catalog/kelt-8_b/
KELT-9,b,KELT-9 b,1,2017,0,http://exoplanet.eu/catalog/hd_195689_b/
KIC 10001893,b,KIC 10001893 b,3,2014,0,http://exoplanet.eu/catalog/kic_10001893_b/
KIC 10001893,c,KIC 10001893 c,3,2014,0,
KIC 10001893,d,KIC 10001893 d,3,2014,0,http://exoplanet.eu/catalog/kic_10001893_d/
KIC 10525077,b,KIC 10525077 b,1,2015,0,http://exoplanet.eu/catalog/kepler-459_b/
KIC 3558849,b,KIC 3558849 b,1,2015,0,http://exoplanet.eu/catalog/kepler-455_b/
KIC 5095269,b,KIC 5095269 b,1,2017,0,http://exoplanet.eu/catalog/kic_5095269_(ab)_b/
KIC 5437945,b,KIC 5437945 b,2,2015,0,http://exoplanet.eu/catalog/kepler-460_b/
KIC 5951458,b,KIC 5951458 b,1,2015,0,http://exoplanet.eu/catalog/kepler-456_b/
KIC 7917485,b,KIC 7917485 b,1,2016,0,http://exoplanet.eu/catalog/kic_7917485_b/
KOI-7892,b,KIC 8540376 b,2,2015,0,http://exoplanet.eu/catalog/kepler-457_b/
KOI-7892,c,KIC 8540376 c,2,2015,0,http://exoplanet.eu/catalog/kepler-457_c/
KIC 9663113,b,KIC 9663113 b,2,2015,0,http://exoplanet.eu/catalog/kepler-458_b/
KMT-2016-BLG-0212L,b,KMT-2016-BLG-0212L b,1,2018,0,
KMT-2016-BLG-1107L,b,KMT-2016-BLG-1107L b,1,2019,0,http://exoplanet.eu/catalog/kmt-2016-blg-1107_b/
KMT-2016-BLG-1397L,b,KMT-2016-BLG-1397L b,1,2018,0,http://exoplanet.eu/catalog/kmt-2016-blg-1397_b/
KMT-2016-BLG-1820L,b,KMT-2016-BLG-1820L b,1,2018,0,http://exoplanet.eu/catalog/kmt-2016-blg-1820_b/
KMT-2016-BLG-2142L,b,KMT-2016-BLG-2142L b,1,2018,0,http://exoplanet.eu/catalog/kmt-2016-blg-2142_b/
KMT-2017-BLG-0165L,b,KMT-2017-BLG-0165L b,1,2018,0,http://exoplanet.eu/catalog/kmt-2017-blg-0165l_b/
KMT-2017-BLG-1038L,b,KMT-2017-BLG-1038L b,1,2019,0,
KMT-2017-BLG-1146L,b,KMT-2017-BLG-1146L b,1,2019,0,
KMT-2018-BLG-1990L,b,KMT-2018-BLG-1990L b,1,2019,0,http://exoplanet.eu/catalog/kmt-2018-blg-1990l_b/
KOI-12,b,KOI-12 b,2,2015,0,http://exoplanet.eu/catalog/kepler-448_b/
KOI-1257,b,KOI-1257 b,1,2014,0,http://exoplanet.eu/catalog/kepler-420_a_b/
KOI-13,b,KOI-13 b,1,2011,0,http://exoplanet.eu/catalog/kepler-13_a_b/
KOI-142,b,KOI-142 b,2,2013,0,http://exoplanet.eu/catalog/kepler-88_b/
KOI-142,c,KOI-142 c,2,2013,0,http://exoplanet.eu/catalog/kepler-88_c/
KOI-1599,c,KOI-1599.01,2,2019,0,
KOI-1599,b,KOI-1599.02,2,2019,0,
KOI-217,b,KOI-217 b,1,2010,0,
KOI-351,b,KOI-351 b,8,2013,0,http://exoplanet.eu/catalog/kepler-90_b/
KOI-351,c,KOI-351 c,8,2013,0,http://exoplanet.eu/catalog/kepler-90_c/
KOI-351,d,KOI-351 d,8,2013,0,http://exoplanet.eu/catalog/kepler-90_d/
KOI-351,e,KOI-351 e,8,2013,0,http://exoplanet.eu/catalog/kepler-90_e/
KOI-351,f,KOI-351 f,8,2013,0,http://exoplanet.eu/catalog/kepler-90_f/
KOI-351,g,KOI-351 g,8,2013,0,http://exoplanet.eu/catalog/kepler-90_g/
KOI-351,h,KOI-351 h,8,2013,0,http://exoplanet.eu/catalog/kepler-90_h/
KOI-3680,b,KOI-3680 b,1,2018,0,
KOI-55,b,KOI-55 b,2,2011,0,http://exoplanet.eu/catalog/kepler-70__b/
KOI-55,c,KOI-55 c,2,2011,0,http://exoplanet.eu/catalog/kepler-70_c/
KOI-94,b,KOI-94 b,4,2013,0,http://exoplanet.eu/catalog/kepler-89_b/
KOI-94,c,KOI-94 c,4,2013,0,http://exoplanet.eu/catalog/kepler-89_c/
KOI-94,d,KOI-94 d,4,2013,0,http://exoplanet.eu/catalog/kepler-89_d/
KOI-94,e,KOI-94 e,4,2013,0,http://exoplanet.eu/catalog/kepler-89_e/
KPS-1,b,KPS-1 b,1,2018,0,http://exoplanet.eu/catalog/kps-1_b/
Kapteyn,c,Kapteyn c,1,2014,0,http://exoplanet.eu/catalog/kapteyn%27s_c/
Kepler-10,b,Kepler-10 b,2,2011,0,http://exoplanet.eu/catalog/kepler-10_b/
Kepler-10,c,Kepler-10 c,2,2011,0,http://exoplanet.eu/catalog/kepler-10_c/
Kepler-100,b,Kepler-100 b,3,2014,0,http://exoplanet.eu/catalog/kepler-100_b/
Kepler-100,c,Kepler-100 c,3,2014,0,http://exoplanet.eu/catalog/kepler-100_c/
Kepler-100,d,Kepler-100 d,3,2014,0,http://exoplanet.eu/catalog/kepler-100_d/
Kepler-1000,b,Kepler-1000 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1000_b/
Kepler-1001,b,Kepler-1001 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1001_b/
Kepler-1002,b,Kepler-1002 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1002_b/
Kepler-1003,b,Kepler-1003 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1003_b/
Kepler-1004,b,Kepler-1004 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1004_b/
Kepler-1005,b,Kepler-1005 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1005_b/
Kepler-1006,b,Kepler-1006 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1006_b/
Kepler-1007,b,Kepler-1007 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1007_b/
Kepler-1008,b,Kepler-1008 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1008_b/
Kepler-1009,b,Kepler-1009 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1009_b/
Kepler-101,b,Kepler-101 b,2,2014,0,http://exoplanet.eu/catalog/kepler-101_b/
Kepler-101,c,Kepler-101 c,2,2014,0,http://exoplanet.eu/catalog/kepler-101_c/
Kepler-1010,b,Kepler-1010 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1010_b/
Kepler-1011,b,Kepler-1011 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1011_b/
Kepler-1012,b,Kepler-1012 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1012_b/
Kepler-1013,b,Kepler-1013 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1013_b/
Kepler-1014,b,Kepler-1014 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1014_b/
Kepler-1015,b,Kepler-1015 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1015_b/
Kepler-1016,b,Kepler-1016 b,2,2016,0,http://exoplanet.eu/catalog/kepler-1016_b/
Kepler-1016,c,Kepler-1016 c,2,2016,0,http://exoplanet.eu/catalog/kepler-1016_c/
Kepler-1017,b,Kepler-1017 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1017_b/
Kepler-1018,b,Kepler-1018 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1018_b/
Kepler-1019,b,Kepler-1019 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1019_b/
Kepler-102,b,Kepler-102 b,5,2014,0,http://exoplanet.eu/catalog/kepler-102_b/
Kepler-102,c,Kepler-102 c,5,2014,0,http://exoplanet.eu/catalog/kepler-102_c/
Kepler-102,d,Kepler-102 d,5,2014,0,http://exoplanet.eu/catalog/kepler-102_d/
Kepler-102,e,Kepler-102 e,5,2013,0,http://exoplanet.eu/catalog/kepler-102_e/
Kepler-102,f,Kepler-102 f,5,2014,0,http://exoplanet.eu/catalog/kepler-102_f/
Kepler-1020,b,Kepler-1020 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1020_b/
Kepler-1021,b,Kepler-1021 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1021_b/
Kepler-1022,b,Kepler-1022 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1022_b/
Kepler-1023,b,Kepler-1023 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1023_b/
Kepler-1024,b,Kepler-1024 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1024_b/
Kepler-1025,b,Kepler-1025 b,1,2016,0,http://exoplanet.eu/catalog/kepler-1025_b/
Kepler-1026,b,Kepler-1026 b,1,2016,0,http://exoplanet.eu/catalog/Kepler-1026_b/
Kepler-1027,b,Kepler-1027 b,1,2016,0,http://exoplanet.eu/catalog/Kepler-1027_b/
Kepler-1028,b,Kepler-1028 b,1,2016,0,http://exoplanet.eu/catalog/Kepler-1028_b/
Kepler-1029,b,Kepler-1029 b,1,2016,0,http://exoplanet.eu/catalog/Kepler-1029_b/
Kepler-103,b,Kepler-103 b,2,2014,0,http://exoplanet.eu/catalog/Kepler-103_b/
Kepler-103,c,Kepler-103 c,2,2014,0,http://exoplanet.eu/catalog/Kepler-103_c/
Kepler-1030,b,Kepler-1030 b,1,2016,0,http://exoplanet.eu/catalog/Kepler-1030_b/
Kepler-1031,b,Kepler-1031 b,1,2016,0,http://exoplanet.eu/catalog/Kepler-1031_b/
Kepler-1032,b,Kepler-1032 b,1,2016,0,http://exoplanet.eu/catalog/Kepler-1032_b/
Kepler-1033,b,Kepler-1033 b,1,2016,0,http://exoplanet.eu/catalog/Kepler-1033_b/
Kepler-1034,b,Kepler-1034 b,1,2016,0,http://exoplanet.eu/catalog/Kepler-1034_b/
Kepler-1035,b,Kepler-1035 b,1,2016,0,http://exoplanet.eu/catalog/Kepler-1035_b/
Kepler-1036,b,Kepler-1036 b,1,2016,0,http://exoplanet.eu/catalog/Kepler-1036_b/
Kepler-1037,b,Kepler-1037 b,1,2016,0,http://exoplanet.eu/catalog/Kepler-1037_b/
Kepler-1038,b,Kepler-1038 b,1,2016,0,http://exoplanet.eu/catalog/Kepler-1038_b/
