host_name,planet_letter,planet_name,num_planets_in_system,discovery_year,num_moons,link_to_wiki
CI Tau,b,CI Tau b,1,2019,0,http://exoplanet.eu/catalog/ci_tau_b/
CT Cha,b,CT Cha b,1,2007,0,http://exoplanet.eu/catalog/ct_cha_b/
CoRoT-1,b,CoRoT-1 b,1,2008,0,http://exoplanet.eu/catalog/corot-1_b/
CoRoT-10,b,CoRoT-10 b,1,2010,0,http://exoplanet.eu/catalog/corot-10_b/
CoRoT-11,b,CoRoT-11 b,1,2010,0,http://exoplanet.eu/catalog/corot-11_b/
CoRoT-12,b,CoRoT-12 b,1,2010,0,http://exoplanet.eu/catalog/corot-12_b/
CoRoT-13,b,CoRoT-13 b,1,2010,0,http://exoplanet.eu/catalog/corot-13_b/
CoRoT-14,b,CoRoT-14 b,1,2010,0,http://exoplanet.eu/catalog/corot-14_b/
CoRoT-16,b,CoRoT-16 b,1,2011,0,http://exoplanet.eu/catalog/corot-16_b/
CoRoT-17,b,CoRoT-17 b,1,2011,0,http://exoplanet.eu/catalog/corot-17_b/
CoRoT-18,b,CoRoT-18 b,1,2011,0,http://exoplanet.eu/catalog/corot-18_b/
CoRoT-19,b,CoRoT-19 b,1,2011,0,http://exoplanet.eu/catalog/corot-19_b/
CoRoT-2,b,CoRoT-2 b,1,2008,0,http://exoplanet.eu/catalog/corot-2_b/
CoRoT-20,b,CoRoT-20 b,2,2011,0,http://exoplanet.eu/catalog/corot-20_b/
CoRoT-20,c,CoRoT-20 c,2,2018,0,http://exoplanet.eu/catalog/corot-20_c/
CoRoT-21,b,CoRoT-21 b,1,2012,0,http://exoplanet.eu/catalog/corot-21_b/
CoRoT-22,b,CoRoT-22 b,1,2014,0,http://exoplanet.eu/catalog/corot-22_b/
CoRoT-23,b,CoRoT-23 b,1,2011,0,http://exoplanet.eu/catalog/corot-23_b/
CoRoT-24,b,CoRoT-24 b,2,2014,0,http://exoplanet.eu/catalog/corot-24_b/
CoRoT-24,c,CoRoT-24 c,2,2014,0,http://exoplanet.eu/catalog/corot-24_c/
CoRoT-25,b,CoRoT-25 b,1,2013,0,http://exoplanet.eu/catalog/corot-25_b/
CoRoT-26,b,CoRoT-26 b,1,2013,0,http://exoplanet.eu/catalog/corot-26_b/
CoRoT-27,b,CoRoT-27 b,1,2014,0,http://exoplanet.eu/catalog/corot-27_b/
CoRoT-28,b,CoRoT-28 b,1,2015,0,http://exoplanet.eu/catalog/corot-28_b/
CoRoT-29,b,CoRoT-29 b,1,2015,0,http://exoplanet.eu/catalog/corot-29_b/
CoRoT-3,b,CoRoT-3 b,1,2008,0,http://exoplanet.eu/catalog/corot-3_b/
CoRoT-4,b,CoRoT-4 b,1,2008,0,http://exoplanet.eu/catalog/corot-4_b/
CoRoT-5,b,CoRoT-5 b,1,2009,0,http://exoplanet.eu/catalog/corot-5_b/
CoRoT-6,b,CoRoT-6 b,1,2009,0,http://exoplanet.eu/catalog/corot-6_b/
CoRoT-7,b,CoRoT-7 b,2,2009,0,http://exoplanet.eu/catalog/corot-7_b/
CoRoT-7,c,CoRoT-7 c,2,2009,0,http://exoplanet.eu/catalog/corot-7_c/
CoRoT-8,b,CoRoT-8 b,1,2010,0,http://exoplanet.eu/catalog/corot-8_b/
CoRoT-9,b,CoRoT-9 b,1,2009,0,http://exoplanet.eu/catalog/corot-9_b/
CoRoTID 223977153,b,CoRoTID 223977153 b,1,2017,0,http://exoplanet.eu/catalog/corot-32_b/
DE CVn,b,DE CVn b,1,2018,0,http://exoplanet.eu/catalog/de_cvn_b/
DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,1,2013,0,
DH Tau,b,DH Tau b,1,2004,0,http://exoplanet.eu/catalog/dh_tau_b/
DP Leo,b,DP Leo b,1,2009,0,http://exoplanet.eu/catalog/dp_leo_(ab)_b/
DS Tuc A,b,DS Tuc A b,1,2019,0,http://exoplanet.eu/catalog/ds_tuc_a_b/
EPIC 201238110,b,EPIC 201238110 b,1,2019,0,
EPIC 201497682,b,EPIC 201497682 b,1,2019,0,
K2-166,c,EPIC 201615463 c,2,2019,0,
K2-16,d,EPIC 201754305 d,3,2019,0,
K2-50,c,EPIC 201833600 c,2,2019,0,
EPIC 201841433,b,EPIC 201841433 b,1,2019,0,
K2-168,c,EPIC 205950854 c,2,2019,0,
EPIC 206024342,b,EPIC 206024342 b,1,2019,0,
EPIC 206032309,b,EPIC 206032309 b,1,2019,0,
EPIC 206042996,b,EPIC 206042996 b,1,2019,0,
EPIC 206215704,b,EPIC 206215704 b,1,2019,0,
EPIC 206317286,b,EPIC 206317286 b,1,2019,0,
EPIC 211822797,b,EPIC 211822797 b,1,2016,0,http://exoplanet.eu/catalog/epic_211822797_b/
EPIC 211945201,b,EPIC 211945201 b,1,2018,0,http://exoplanet.eu/catalog/epic__211945201_b/
EPIC 212297394,b,EPIC 212297394 b,1,2019,0,
EPIC 212424622,b,EPIC 212424622 b,1,2019,0,
EPIC 212499991,b,EPIC 212499991 b,1,2019,0,
EPIC 212587672,b,EPIC 212587672 b,1,2019,0,
EPIC 212737443,b,EPIC 212737443 b,2,2019,0,http://exoplanet.eu/catalog/epic_212737443_b/
EPIC 212737443,c,EPIC 212737443 c,2,2019,0,http://exoplanet.eu/catalog/epic_212737443_c/
K2-282,c,EPIC 220554210 c,2,2019,0,
EPIC 220674823,b,EPIC 220674823 b,2,2016,0,http://exoplanet.eu/catalog/k2-106_b/
EPIC 220674823,c,EPIC 220674823 c,2,2016,0,http://exoplanet.eu/catalog/k2-106_c/
EPIC 246851721,b,EPIC 246851721 b,1,2018,0,http://exoplanet.eu/catalog/epic_246851721_b/
EPIC 248847494,b,EPIC 248847494 b,1,2018,0,
FU Tau,b,FU Tau b,1,2008,0,http://exoplanet.eu/catalog/fu_tau_b/
Fomalhaut,b,Fomalhaut b,1,2008,0,http://exoplanet.eu/catalog/fomalhaut_b/
G 9-40,b,G 9-40 b,1,2019,0,http://exoplanet.eu/catalog/g_9-40_b/
GJ 1132,b,GJ 1132 b,2,2015,0,http://exoplanet.eu/catalog/gj_1132_b/
GJ 1132,c,GJ 1132 c,2,2018,0,http://exoplanet.eu/catalog/gj_1132_c/
GJ 1148,b,GJ 1148 b,2,2010,0,http://exoplanet.eu/catalog/hip_57050_b/
GJ 1148,c,GJ 1148 c,2,2017,0,
